Sentiment,Instagram Comment Text,Clean Instagram Comment Text,Normalized_Text,StopWords,Final
negative, <USERNAME> TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syar'i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!,username tolol gak ada hubungan nya keguguran dgn pake hijab syar i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyy otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar,username tolol enggak ada hubungan nya keguguran dengan pakai hijab syar anda yang kamu bilang bayi nya kepanasan didalem enggak ada hubungan nya woyy otak sama jempol kamu enggak singkron sih ya jadinya asal menulis komentar,username tolol enggak hubungan nya keguguran pakai hijab syar kamu bilang bayi nya kepanasan didalem enggak hubungan nya woyy otak sama jempol kamu enggak singkron sih jadinya asal menulis komentar,username tolol enggak hubungan nya keguguran pakai hijab syar kamu bilang bayi nya kepanasan didalem enggak hubungan nya woyy otak sama jempol kamu enggak singkron sih jadinya asal menulis komentar
negative,Geblek lo tata...cowo bgt dibela2in balikan...hadeww...ntar ditinggal lg nyalahin tuh cowo...padahal kitenya yg oon.,geblek lo tata cowo bgt dibelain balikan hadeww ntar ditinggal lg nyalahin tuh cowo padahal kitenya yg oon,geblek kamu tata cowok banget dibelain balikan hadeww entar ditinggal lagi menyalahkan itu cowok padahal kitenya yang oon,geblek kamu tata cowok banget dibelain balikan hadeww entar ditinggal menyalahkan cowok padahal kitenya oon,geblek kamu tata cowok banget dibelain balikan hadeww entar ditinggal menyalahkan cowok padahal kitenya oon
negative,Kmrn termewek2 skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas,kmrn termewek skr lengket lg duh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotop ertong gk berkualitas,kemarin termewek sekarang lengket lagi duh kok labil banget sih kaka kaya abege saja atau yang kemarin cari sensasi biar top markotop ertong enggak berkualitas,kemarin termewek sekarang lengket duh kok labil banget sih kaka kaya abege kemarin cari sensasi biar top markotop ertong enggak berkualitas,kemarin termewek sekarang lengket duh kok labil banget sih kaka kaya abege kemarin cari sensasi biar top markotop ertong enggak berkualitas
negative,"Intinya kalau kesel dengan ATT nya, gausah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang bener bener tolol, skrg seandainya dia punya anak, terus anaknya dikatain sama orang yang benci sama dia, gimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada haters ??",intinya kalau kesel dengan att nya gausah ke anaknya juga kasian buat perkembangan psikis anak kedepannya itu orang bener bener tolol skrg seandainya dia punya anak terus anaknya dikatain sama orang yang benci sama dia gimana perasaan dia benci sama seseorang boleh tapi harus tau batesnya toh namanya manusia gaakan semua jadi penyuka pasti ada haters,intinya kalau kesel dengan att nya enggak usah ke anaknya juga kasihan buat perkembangan psikis anak kedepannya itu manusia benar benar tolol sekarang seandainya dia punya anak terus anaknya dikatai sama manusia yang benci sama dia bagaimana perasaan dia benci sama seseorang boleh tapi harus tahu batesnya toh namanya manusia gaakan semua jadi penyuka pasti ada haters,intinya kalau kesel att nya enggak usah anaknya kasihan buat perkembangan psikis anak kedepannya manusia benar benar tolol sekarang seandainya punya anak terus anaknya dikatai sama manusia benci sama bagaimana perasaan benci sama seseorang tahu batesnya namanya manusia gaakan semua jadi penyuka haters,intinya kalau kesel att nya enggak usah anaknya kasihan buat perkembangan psikis anak kedepannya manusia benar benar tolol sekarang seandainya punya anak terus anaknya dikatai sama manusia benci sama bagaimana perasaan benci sama seseorang tahu batesnya namanya manusia gaakan semua jadi penyuka haters
negative,"hadewwwww permpuan itu lg!!!!sakit jiwa,knp harus dia yg jd peran utama di film hantu jeruk purut,ky khabisan stok Artis ja",hadew permpuan itu lg sakit jiwa knp harus dia yg jd peran utama di film hantu jeruk purut ky khabisan stok artis ja,hadew permpuan itu lagi sakit jiwa kenapa harus dia yang jadi peran utama di film hantu jeruk purut kaya khabisan stok artis saja,hadew permpuan sakit jiwa jadi peran utama film hantu jeruk purut kaya khabisan stok artis,hadew permpuan sakit jiwa jadi peran utama film hantu jeruk purut kaya khabisan stok artis
negative,"Pantesan di tinggalin laki, ya lakinya juga mikir kali kalau perempuannya kayagni. Ngurus diri aja dia gak becus gimana ngurus anak, mending anak sama bapake nya aja bener didiknya",pantesan di tinggalin laki ya lakinya juga mikir kali kalau perempuannya kayagni ngurus diri aja dia gak becus gimana ngurus anak mending anak sama bapake nya aja bener didiknya,pantesan di tinggalkan laki ya lakinya juga mikir kali kalau perempuannya kayagni mengurus diri saja dia enggak becus bagaimana mengurus anak mending anak sama bapake nya saja benar didiknya,pantesan tinggalkan laki lakinya mikir kali kalau perempuannya kayagni mengurus diri enggak becus bagaimana mengurus anak mending anak sama bapake nya benar didiknya,pantesan tinggalkan laki lakinya mikir kali kalau perempuannya kayagni mengurus diri enggak becus bagaimana mengurus anak mending anak sama bapake nya benar didiknya
negative,"kebiasaan balajaer nyampah d ig para artis..suka2 yg punya ig lah mau bikin caption apa,kok balajaer yg heboh dan asik ceramahin yg punya ig.tar lama2 d bikinin lagu sm teh melly loh balajaer yg berjudul""ketika balajaer bersabda""demi seonggak koin laknat nya.balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi.duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa.minus segala2nya!lagi masih d bela mati2an,pd sakit jiwa",kebiasaan balajaer nyampah d ig para artis suka yg punya ig lah mau bikin caption apa kok balajaer yg heboh dan asik ceramahin yg punya ig tar lama d bikinin lagu sm teh melly loh balajaer yg berjudul ketika balajaer bersabda demi seonggak koin laknat nya balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa minus segalanya lagi masih d bela matian pd sakit jiwa,kebiasaan balajaer menyampah ada ig para artis suka yang punya ig lah mau membuat caption apa kok balajaer yang heboh dan asik ceramahin yang punya ig entar lama ada membikin lagu sama teh melly loh balajaer yang berjudul ketika balajaer bersabda demi seonggak koin laknat nya balajaer ngamuk berarti mengiyakan banget koin laknat nya jadi penggoda ada rt nya gigi duh elah balajaer kami semua tahu kali kelakuan biduan kamu itu kayak apa minus segalanya lagi masih ada bela matian percaya diri sakit jiwa,kebiasaan balajaer menyampah ig artis suka punya ig lah mau membuat caption apa kok balajaer heboh asik ceramahin punya ig entar lama membikin lagu sama teh melly loh balajaer berjudul balajaer bersabda seonggak koin laknat nya balajaer ngamuk berarti mengiyakan banget koin laknat nya jadi penggoda rt nya gigi duh elah balajaer semua tahu kali kelakuan biduan kamu kayak apa minus segalanya bela matian percaya diri sakit jiwa,kebiasaan balajaer menyampah ig artis suka punya ig lah mau membuat caption apa kok balajaer heboh asik ceramahin punya ig entar lama membikin lagu sama teh melly loh balajaer berjudul balajaer bersabda seonggak koin laknat nya balajaer ngamuk berarti mengiyakan banget koin laknat nya jadi penggoda rt nya gigi duh elah balajaer semua tahu kali kelakuan biduan kamu kayak apa minus segalanya bela matian percaya diri sakit jiwa
negative,krn sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yg baik mana yg buruk. Sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan. Lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika,krn sebagian besar rakyat indonesia itu bodoh tdk bisa membedakan mana yg baik mana yg buruk sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika,karena sebagian besar rakyat indonesia itu bodoh tidak bisa membedakan mana yang baik mana yang buruk sudah tahu perilaku buruk tidak tahu sopan santun itu yang dipilih jadi panutan lebih mengidolakan yang murahan dokter percaya diri yang berkelas dan ber etika,sebagian besar rakyat indonesia bodoh membedakan mana baik mana buruk tahu perilaku buruk tahu sopan santun dipilih jadi panutan lebih mengidolakan murahan dokter percaya diri berkelas ber etika,sebagian besar rakyat indonesia bodoh membedakan mana baik mana buruk tahu perilaku buruk tahu sopan santun dipilih jadi panutan lebih mengidolakan murahan dokter percaya diri berkelas ber etika
negative,ayu janda bego pny suami kpn nikah laginya?,ayu janda bego pny suami kpn nikah laginya,ayu janda bodoh punya suami kapan nikah laginya,ayu janda bodoh punya suami kapan nikah laginya,ayu janda bodoh punya suami kapan nikah laginya
negative,"Anyiennnnggg.. Suaranya ancur banget, lebih merdu tukang gorengan",anyienng suaranya ancur banget lebih merdu tukang gorengan,anyienng suaranya hancur banget lebih merdu tukang gorengan,anyienng suaranya hancur banget lebih merdu tukang gorengan,anyienng suaranya hancur banget lebih merdu tukang gorengan
